REPORTER METABOLITES USING TEST TYPE: all
ID	NAME	Z-SCORE	P-VALUE	NUMBER OF NEIGHBOURS	AVERAGE Z-SCORE	STD Z-SCORE
m02394c	lipoic acid[Cytosol]	1.1076	0.13402	3	8.4682	6.9775
m02416c	L-seryl-tRNA(ser)[Cytosol]	1.1067	0.1342	3	8.4656	5.9557
m03078c	tRNA(ser)[Cytosol]	1.1067	0.1342	3	8.4656	5.9557
m01787r	estradiol-17beta[Endoplasmic reticulum]	1.1057	0.13443	20	6.391	4.681
m02978c	tetrahydrobiopterin[Cytosol]	1.1013	0.13539	4	8.0132	9.9744
m00042m	(2E)-dodecenoyl-CoA[Mitochondria]	1.0968	0.13636	8	7.1628	4.7396
m03029m	trans-2-cis,cis,cis-8,11,14-eicosatetraenoyl-CoA[Mitochondria]	1.0968	0.13636	8	7.1628	4.7396
m01450g	cholesterol[Golgi apparatus]	1.0964	0.13645	3	8.434	2.8151
m02898c	S-farnesyl-protein[Cytosol]	1.0933	0.13714	3	8.4244	6.9552
m02027c	GSSG[Cytosol]	1.0931	0.13718	14	6.6367	6.3626
m01983s	glycerol[Extracellular]	1.0865	0.13864	5	7.6645	8.0024
m03108c	UDP-glucose[Cytosol]	1.0788	0.14035	13	6.6748	5.663
m00529c	1D-myo-inositol-3-phosphate[Cytosol]	1.0777	0.14058	4	7.9505	5.9676
m01183r	7alpha-hydroxycholesterol[Endoplasmic reticulum]	1.0755	0.14107	2	9.1091	3.5348
m01986s	glycine[Extracellular]	1.0657	0.14328	19	6.3865	7.3381
m00025p	(15Z)-tetracosenoyl-CoA[Peroxisome]	1.065	0.14344	4	7.9167	8.9908
m02971p	tetracosanoyl-CoA[Peroxisome]	1.065	0.14344	4	7.9167	8.9908
m01513s	choline[Extracellular]	1.0624	0.14402	8	7.0984	6.1522
m01669m	deoxyguanosine[Mitochondria]	1.0609	0.14438	3	8.3251	7.0272
m01280m	adenosine[Mitochondria]	1.0586	0.14488	1	10.6937	0
m01115c	5-methyl-THF[Cytosol]	1.0553	0.14565	4	7.8909	3.5302
m02036c	guanidinoacetate[Cytosol]	1.0457	0.14785	2	8.9972	9.003
m01833m	formate[Mitochondria]	1.0425	0.14859	4	7.8569	5.2452
m02772m	propanoate[Mitochondria]	1.0393	0.14933	6	7.3505	5.0327
m00505c	1-acylglycerol-LD-PE pool[Cytosol]	1.034	0.15058	11	6.7368	6.9781
m01810c	fatty acid-LD-PI pool[Cytosol]	1.034	0.15058	11	6.7368	6.9781
m02868m	saccharopine[Mitochondria]	1.0298	0.15156	2	8.9374	2.1711
m00007m	(11Z)-eicosenoyl-CoA[Mitochondria]	1.0294	0.15164	8	7.0365	4.5785
m00118m	(7Z)-tetradecenoyl-CoA[Mitochondria]	1.0294	0.15164	8	7.0365	4.5785
m01141m	5-tetradecenoyl-CoA[Mitochondria]	1.0294	0.15164	8	7.0365	4.5785
m01191m	7-hexadecenoyl-CoA[Mitochondria]	1.0294	0.15164	8	7.0365	4.5785
m01586m	cis-vaccenoyl-CoA[Mitochondria]	1.0294	0.15164	8	7.0365	4.5785
m01773m	eicosanoyl-CoA[Mitochondria]	1.0294	0.15164	8	7.0365	4.5785
m01934m	gamma-linolenoyl-CoA[Mitochondria]	1.0294	0.15164	8	7.0365	4.5785
m02101m	heptadecanoyl-CoA[Mitochondria]	1.0294	0.15164	8	7.0365	4.5785
m02345m	lauroyl-CoA[Mitochondria]	1.0294	0.15164	8	7.0365	4.5785
m02495m	myristoyl-CoA[Mitochondria]	1.0294	0.15164	8	7.0365	4.5785
m02612m	nonadecanoyl-CoA[Mitochondria]	1.0294	0.15164	8	7.0365	4.5785
m02647m	oleoyl-CoA[Mitochondria]	1.0294	0.15164	8	7.0365	4.5785
m02677m	palmitoleoyl-CoA[Mitochondria]	1.0294	0.15164	8	7.0365	4.5785
m02678m	palmitoyl-CoA[Mitochondria]	1.0294	0.15164	8	7.0365	4.5785
m02689m	pentadecanoyl-CoA[Mitochondria]	1.0294	0.15164	8	7.0365	4.5785
m02941m	stearoyl-CoA[Mitochondria]	1.0294	0.15164	8	7.0365	4.5785
m03050m	tridecanoyl-CoA[Mitochondria]	1.0294	0.15164	8	7.0365	4.5785
m00475m	1-acylglycerol-3P-CL pool[Mitochondria]	1.0282	0.15192	9	6.8982	6.3268
m01270m	acyl-CoA-CL pool[Mitochondria]	1.0282	0.15192	9	6.8982	6.3268
m00016m	(13Z)-docosenoyl-CoA[Mitochondria]	1.0237	0.15298	5	7.5155	5.5209
m00018m	(13Z)-eicosenoyl-CoA[Mitochondria]	1.0237	0.15298	5	7.5155	5.5209
m01697m	dihomo-gamma-linolenoyl-CoA[Mitochondria]	1.0237	0.15298	5	7.5155	5.5209
m01725m	docosanoyl-CoA[Mitochondria]	1.0237	0.15298	5	7.5155	5.5209
m02052m	heneicosanoyl-CoA[Mitochondria]	1.0237	0.15298	5	7.5155	5.5209
m02391m	linoleoyl-CoA[Mitochondria]	1.0237	0.15298	5	7.5155	5.5209
m01746c	D-tagatose-6-phosphate[Cytosol]	1.0107	0.15608	4	7.7724	8.1612
m01760c	D-xylulose-1-phosphate[Cytosol]	1.0107	0.15608	4	7.7724	8.1612
m02360s	leucine[Extracellular]	1.0096	0.15635	15	6.4635	5.6971
m03161c	glycogen[Cytosol]	1.0069	0.15699	2	8.8516	3.2632
m00037p	(24R,25R)3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA[Peroxisome]	0.98505	0.1623	1	10.3035	0
m02756c	porphobilinogen[Cytosol]	0.98339	0.16271	2	8.7634	5.1369
m01596m	CO2[Mitochondria]	0.97459	0.16488	31	6.0305	5.7495
m02658m	ornithine[Mitochondria]	0.97218	0.16548	3	8.0536	1.7551
m00727c	3,4-dihydroxymandelate[Cytosol]	0.9527	0.17037	4	7.6182	3.7756
m03136c	vanillylmandelate[Cytosol]	0.9527	0.17037	4	7.6182	3.7756
m02672g	PA6[Golgi apparatus]	0.9517	0.17062	1	10.1267	0
m02914m	sn-glycerol-3-phosphate[Mitochondria]	0.94484	0.17237	7	6.9971	6.3928
m00195c	[protein C terminal]-S-farnesyl-L-cysteine-methyl ester[Cytosol]	0.94444	0.17247	1	10.0882	0
m00920c	3-sulfopyruvate[Cytosol]	0.94251	0.17297	4	7.5912	6.8
m02738c	phosphocholine[Cytosol]	0.94178	0.17315	9	6.7458	6.9614
m02469c	methaneselenol[Cytosol]	0.9391	0.17384	1	10.0599	0
m02888c	selenocystathionine[Cytosol]	0.9391	0.17384	1	10.0599	0
m02891c	selenomethionine[Cytosol]	0.9391	0.17384	1	10.0599	0
m00266m	10-formyl-THF[Mitochondria]	0.93524	0.17483	3	7.9405	6.4207
m01790c	estrone[Cytosol]	0.93436	0.17506	23	6.1165	4.478
m02041s	H2O2[Extracellular]	0.92781	0.17675	3	7.9178	8.1512
m01666s	deoxyadenosine[Extracellular]	0.92541	0.17738	4	7.5457	5.7278
m01196c	7-hydroxymethyl-12-methylbenz[a]anthracene[Cytosol]	0.92524	0.17742	6	7.1026	5.8159
m00617p	25(S)DHCA-CoA[Peroxisome]	0.91949	0.17892	2	8.5236	9.0715
m02804m	protoporphyrinogen IX[Mitochondria]	0.91841	0.1792	1	9.9501	0
m01383s	beta-alanine[Extracellular]	0.91741	0.17946	3	7.886	8.3298
m01303m	agmatine[Mitochondria]	0.91576	0.1799	2	8.5095	11.3854
m00270c	10-HETE[Cytosol]	0.90868	0.18176	12	6.4864	4.8182
m00276c	11,12,15-THETA[Cytosol]	0.90868	0.18176	12	6.4864	4.8182
m00280c	11,14,15-THETA[Cytosol]	0.90868	0.18176	12	6.4864	4.8182
m00296c	11h-14,15-EETA[Cytosol]	0.90868	0.18176	12	6.4864	4.8182
m00297c	11-HETE[Cytosol]	0.90868	0.18176	12	6.4864	4.8182
m00354c	13-HETE[Cytosol]	0.90868	0.18176	12	6.4864	4.8182
m00390c	15H-11,12-EETA[Cytosol]	0.90868	0.18176	12	6.4864	4.8182
m00396c	16(R)-HETE[Cytosol]	0.90868	0.18176	12	6.4864	4.8182
m00400c	16alpha-hydroxyestrone[Cytosol]	0.90868	0.18176	12	6.4864	4.8182
m00400r	16alpha-hydroxyestrone[Endoplasmic reticulum]	0.90868	0.18176	12	6.4864	4.8182
m00414c	17-HETE[Cytosol]	0.90868	0.18176	12	6.4864	4.8182
m00426c	18-HETE[Cytosol]	0.90868	0.18176	12	6.4864	4.8182
m00430c	19(S)-HETE[Cytosol]	0.90868	0.18176	12	6.4864	4.8182
m00649r	2-hydroxyestradiol-17beta[Endoplasmic reticulum]	0.90868	0.18176	12	6.4864	4.8182
m01054c	5,6-EET[Cytosol]	0.90868	0.18176	12	6.4864	4.8182
m01190c	7-HETE[Cytosol]	0.90868	0.18176	12	6.4864	4.8182
m01209c	8,9-EET[Cytosol]	0.90868	0.18176	12	6.4864	4.8182
m01213c	8-HETE[Cytosol]	0.90868	0.18176	12	6.4864	4.8182
m01239c	9-HETE[Cytosol]	0.90868	0.18176	12	6.4864	4.8182
m01280s	adenosine[Extracellular]	0.90307	0.18324	6	7.0544	4.8192
m00165c	(R)-5-phosphomevalonate[Cytosol]	0.90226	0.18346	2	8.4589	5.3219
m02552p	NAD+[Peroxisome]	0.89914	0.18429	6	7.0459	5.2871
m02553p	NADH[Peroxisome]	0.89914	0.18429	6	7.0459	5.2871
m00609c	24,25-dihydrolanosterol[Cytosol]	0.89772	0.18467	2	8.4418	6.9045
m02440c	malonate[Cytosol]	0.8934	0.18582	1	9.8176	0
m02440m	malonate[Mitochondria]	0.8934	0.18582	1	9.8176	0
m02946m	sulfate[Mitochondria]	0.8934	0.18582	1	9.8176	0
m01391g	beta-GalNAc-globoside[Golgi apparatus]	0.8857	0.18789	1	9.7767	0
m02525g	N-acetylgalactosamine[Golgi apparatus]	0.8857	0.18789	1	9.7767	0
m00616m	25(R)THCA-CoA[Mitochondria]	0.88393	0.18837	2	8.3901	8.8828
m02221g	keratan sulfate I biosynthesis, precursor 28[Golgi apparatus]	0.8829	0.18865	6	7.0106	6.7302
m02696m	PEP[Mitochondria]	0.87887	0.18974	2	8.3711	12.0005
m01812c	fatty acid-LD-SM pool[Cytosol]	0.87859	0.18981	12	6.4402	6.71
m01708c	dimethylglycine[Cytosol]	0.8717	0.19169	2	8.3442	9.6946
m00236c	1,2-diacylglycerol-LD-PE pool[Cytosol]	0.8688	0.19248	16	6.2355	5.962
m00239c	1,2-diacylglycerol-LD-SM pool[Cytosol]	0.8688	0.19248	16	6.2355	5.962
m01646c	deamido-NAD[Cytosol]	0.86846	0.19257	5	7.1465	7.7093
m02770s	proline[Extracellular]	0.86722	0.19291	14	6.3167	5.9768
m00941c	4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol[Cytosol]	0.86451	0.19365	3	7.724	10.8085
m00942c	4,4-dimethyl-5alpha-cholesta-8,14-dien-3-beta-ol[Cytosol]	0.86451	0.19365	3	7.724	10.8085
m01862m	fumarate[Mitochondria]	0.85752	0.19558	7	6.8213	4.633
m02046m	HCO3-[Mitochondria]	0.85411	0.19652	9	6.5913	5.3527
m02426c	lysine[Cytosol]	0.85251	0.19697	15	6.249	5.6194
m00827m	3-methylglutaconyl-CoA[Mitochondria]	0.84967	0.19775	3	7.6786	1.1789
m02170s	inosine[Extracellular]	0.8458	0.19883	4	7.3341	5.9056
m01365s	arginine[Extracellular]	0.8391	0.20071	9	6.5649	5.523
m01706c	dimethylallyl-PP[Cytosol]	0.83559	0.20169	3	7.6355	4.8759
m02983c	thiamin-P[Cytosol]	0.83296	0.20243	2	8.1988	0.83826
m02666c	oxidized thioredoxin[Cytosol]	0.83273	0.2025	6	6.9016	3.4803
m02990c	thioredoxin[Cytosol]	0.83273	0.2025	6	6.9016	3.4803
m01307s	alanine[Extracellular]	0.83237	0.2026	22	6.024	5.4578
m02498c	N,N-chitobiosyldiphosphodolichol[Cytosol]	0.83192	0.20273	3	7.6242	2.5315
m02189m	isovaleryl-CoA[Mitochondria]	0.82207	0.20552	7	6.75	5.6866
m02949c	sulfite[Cytosol]	0.8161	0.20722	14	6.2442	6.9903
m01162c	6-hydroxymelatonin-sulfate[Cytosol]	0.81277	0.20818	11	6.383	7.7659
m02171c	inositol[Cytosol]	0.8118	0.20845	8	6.6283	4.9559
m00947c	4,6-dihydroxyquinoline[Cytosol]	0.81176	0.20846	2	8.1193	3.7404
m00240n	1,2-diacylglycerol-LD-TAG pool[Nucleus]	0.80811	0.20951	1	9.3653	0
m02173n	inositol-1-phosphate[Nucleus]	0.80811	0.20951	1	9.3653	0
m00401p	16e-18-oxo-18-CoA-dinor-LTE4[Peroxisome]	0.80233	0.21118	3	7.5336	6.8387
m00422p	18-COOH-(15E)-dinor-LTE4-CoA[Peroxisome]	0.80233	0.21118	3	7.5336	6.8387
m03021p	trans,cis-lauro-2,6-dienoyl-CoA[Peroxisome]	0.80233	0.21118	3	7.5336	6.8387
m02125s	histidine[Extracellular]	0.79787	0.21247	15	6.1743	5.8067
m01044c	5,10-methenyl-THF[Cytosol]	0.79548	0.21317	3	7.5127	2.5989
m00163m	(R)-4-phosphopantothenoyl-cysteine[Mitochondria]	0.79325	0.21382	4	7.1944	5.4558
m02623m	N-pantothenoylcysteine[Mitochondria]	0.79325	0.21382	4	7.1944	5.4558
m02679m	pantetheine[Mitochondria]	0.79325	0.21382	4	7.1944	5.4558
m02741m	phosphopantetheine[Mitochondria]	0.79325	0.21382	4	7.1944	5.4558
m02531c	N-acetyl-L-asparagine[Cytosol]	0.79301	0.21389	1	9.2852	0
m02532c	N-acetyl-L-aspartate[Cytosol]	0.79301	0.21389	1	9.2852	0
m00139r	(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[Endoplasmic reticulum]	0.79062	0.21458	2	8.0399	1.2025
m01232c	9-cis-retinol[Cytosol]	0.79048	0.21462	5	6.9612	4.2836
m00506c	1-acylglycerol-LD-PI pool[Cytosol]	0.78882	0.21511	12	6.3024	6.8215
m00649c	2-hydroxyestradiol-17beta[Cytosol]	0.78873	0.21513	14	6.2055	4.4916
m01965r	glucose[Endoplasmic reticulum]	0.78873	0.21514	5	6.9571	4.7411
m03035p	trans-3-decenoyl-CoA[Peroxisome]	0.78649	0.21579	5	6.9518	5.3186
m01435s	chenodiol[Extracellular]	0.78603	0.21593	3	7.4837	0.82509
m00490c	1-acylglycerol-3P-LD-TG1 pool[Cytosol]	0.78085	0.21744	1	9.2208	0
m01278c	acylglycerone-phosphate[Cytosol]	0.78085	0.21744	1	9.2208	0
m00721c	3,3-diiodo-L-thyronine-4-O-sulfate[Cytosol]	0.78065	0.2175	12	6.2899	7.4116
m01005c	4-hydroxyphenylpyruvate[Cytosol]	0.77856	0.21812	5	6.9329	7.191
m02725c	phenylpyruvate[Cytosol]	0.77856	0.21812	5	6.9329	7.191
m02658s	ornithine[Extracellular]	0.77645	0.21874	7	6.6581	6.5582
m00809c	3-keto-4-methylzymosterol[Cytosol]	0.77388	0.2195	2	7.9771	0.036231
m00966c	4alpha-methyl-5alpha-cholesta-8-en-3-one[Cytosol]	0.77388	0.2195	2	7.9771	0.036231
m01067c	5alpha-cholesta-8,24-dien-3-one[Cytosol]	0.77388	0.2195	2	7.9771	0.036231
m01068c	5alpha-cholesta-8-en-3-one[Cytosol]	0.77388	0.2195	2	7.9771	0.036231
m01743c	D-ribulose[Cytosol]	0.76665	0.22164	1	9.1455	0
m02125m	histidine[Mitochondria]	0.76294	0.22275	1	9.1258	0
m01996c	glycogenin[Cytosol]	0.75797	0.22424	4	7.1006	6.1504
m01756n	dUTP[Nucleus]	0.75537	0.22501	6	6.7335	6.2215
m02896s	serine[Extracellular]	0.75181	0.22608	18	6.0278	5.4294
m02658c	ornithine[Cytosol]	0.74768	0.22733	11	6.2789	5.8824
m01020s	4-nitrophenyl-phosphate[Extracellular]	0.73777	0.23033	6	6.6952	3.9803
m02754s	PNP[Extracellular]	0.73777	0.23033	6	6.6952	3.9803
m02332s	lactose[Extracellular]	0.73381	0.23153	2	7.8267	0.40805
m02666m	oxidized thioredoxin[Mitochondria]	0.73363	0.23159	7	6.5719	3.2946
m02990m	thioredoxin[Mitochondria]	0.73363	0.23159	7	6.5719	3.2946
m00179c	(S)-3-sulfolactate[Cytosol]	0.7326	0.2319	2	7.8222	3.0761
m01189c	7-dehydrodesmosterol[Cytosol]	0.73017	0.23264	2	7.8131	6.9419
m02805c	provitamin D3[Cytosol]	0.73017	0.23264	2	7.8131	6.9419
m00661m	2-methyl-3-oxopropanoate[Mitochondria]	0.71968	0.23586	1	8.8964	0
m00970m	4-aminobutyrate[Mitochondria]	0.71968	0.23586	1	8.8964	0
m01383m	beta-alanine[Mitochondria]	0.71968	0.23586	1	8.8964	0
m01633m	D-3-amino-isobutanoate[Mitochondria]	0.71968	0.23586	1	8.8964	0
m02325m	L-3-amino-isobutanoate[Mitochondria]	0.71968	0.23586	1	8.8964	0
m01100c	5-formyl-THF[Cytosol]	0.7127	0.23802	2	7.7475	0.19999
m01412m	butyryl-CoA[Mitochondria]	0.7113	0.23845	27	5.8121	5.4871
m00380c	15(S)-HPETE[Cytosol]	0.70748	0.23963	13	6.127	4.7916
m02958c	TAG-LD pool[Cytosol]	0.70518	0.24035	16	6.0181	5.2398
m00245c	1,2-dihydroxy-5-(methylthio)pent-1-en-3-one[Cytosol]	0.69336	0.24404	2	7.6749	10.1614
m01596r	CO2[Endoplasmic reticulum]	0.69193	0.24449	1	8.7493	0
m01161c	6-hydroxymelatonin[Cytosol]	0.69093	0.24481	12	6.1521	7.4476
m00314c	12,13-hydroxyoctadec-9(z)-enoate[Cytosol]	0.69042	0.24496	9	6.3029	6.4977
m00314r	12,13-hydroxyoctadec-9(z)-enoate[Endoplasmic reticulum]	0.69042	0.24496	9	6.3029	6.4977
m01220c	9,10-hydroxyoctadec-12(Z)-enoate[Cytosol]	0.69042	0.24496	9	6.3029	6.4977
m01220r	9,10-hydroxyoctadec-12(Z)-enoate[Endoplasmic reticulum]	0.69042	0.24496	9	6.3029	6.4977
m00435c	1a,11b-dihydro-4,9-dimethylbenz[a]anthra[3,4-b]oxirene[Cytosol]	0.68965	0.24521	2	7.661	9.3481
m00695m	3(S),8(S)-dihydroxy-(6E,10Z)-hexadecadienoate[Mitochondria]	0.6892	0.24535	2	7.6593	5.0397
m01205m	8(S)-hydroxy-hexadeca-(2E,6E,10Z)-trienoate[Mitochondria]	0.6892	0.24535	2	7.6593	5.0397
m02578c	NH3[Cytosol]	0.68911	0.24538	32	5.735	4.703
m02812s	putrescine[Extracellular]	0.6817	0.24771	3	7.1643	9.0661
m01828c	FMN[Cytosol]	0.67902	0.24856	8	6.3793	5.4477
m02171s	inositol[Extracellular]	0.67895	0.24858	3	7.1559	3.4151
m01173c	7,12-dimethylbenz[a]anthracene 5,6-oxide[Cytosol]	0.67612	0.24948	6	6.5612	4.6957
m03032c	trans-3,4-dihydro-3,4-dihydroxy-7,12-dimethylbenz[a]anthracene[Cytosol]	0.67612	0.24948	6	6.5612	4.6957
m02136c	homoserine[Cytosol]	0.6707	0.2512	6	6.5495	5.4026
m02136s	homoserine[Extracellular]	0.6707	0.2512	6	6.5495	5.4026
m00923c	3-ureidopropionate[Cytosol]	0.6686	0.25188	2	7.582	0.78585
m02471s	methionine[Extracellular]	0.66636	0.25259	15	5.9947	5.9733
m00039p	(2E)-decenoyl-CoA[Peroxisome]	0.66159	0.25412	5	6.655	4.9974
m00042p	(2E)-dodecenoyl-CoA[Peroxisome]	0.66159	0.25412	5	6.655	4.9974
m01588m	citrulline[Mitochondria]	0.66099	0.25431	3	7.1009	1.7546
m02623c	N-pantothenoylcysteine[Cytosol]	0.65951	0.25478	6	6.5251	4.9415
m00965c	4alpha-hydroxytetrahydrobiopterin[Cytosol]	0.65122	0.25745	5	6.6303	9.1536
m02151c	hydroxymethylbilane[Cytosol]	0.6474	0.25869	2	7.5024	3.3537
m01986c	glycine[Cytosol]	0.64489	0.2595	42	5.6159	5.9448
m02039c	H+[Cytosol]	0.64365	0.2599	524	5.2336	5.2755
m01400s	biocytin[Extracellular]	0.64364	0.2599	1	8.4932	0
m01401s	biotin[Extracellular]	0.64364	0.2599	1	8.4932	0
m02420c	L-tryptophanyl-tRNA(trp)[Cytosol]	0.63991	0.26112	3	7.0364	5.4955
m03080c	tRNA(trp)[Cytosol]	0.63991	0.26112	3	7.0364	5.4955
m02426s	lysine[Extracellular]	0.63481	0.26278	11	6.0983	5.4333
m01642c	dATP[Cytosol]	0.63448	0.26288	41	5.6059	5.1935
m00749m	3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA[Mitochondria]	0.62557	0.2658	3	6.9925	2.9168
m02997c	thymine[Cytosol]	0.61935	0.26784	3	6.9735	6.2249
m01364m	arachidonyl-CoA[Mitochondria]	0.61558	0.26909	7	6.3342	5.2112
m01963c	glucosamine-6-phosphate[Cytosol]	0.61342	0.2698	8	6.2562	5.1596
m01052c	5,6-Dihydrouracil[Cytosol]	0.61269	0.27004	2	7.3722	0.48914
m02350c	L-cysteate[Cytosol]	0.60949	0.2711	2	7.3601	11.3598
m02647r	oleoyl-CoA[Endoplasmic reticulum]	0.60684	0.27198	3	6.9352	0.67991
m02980s	THF[Extracellular]	0.59624	0.27551	2	7.3104	0.41811
m01672c	deoxyribose[Cytosol]	0.59023	0.27752	2	7.2879	2.6271
m01866r	G00006[Endoplasmic reticulum]	0.58395	0.27963	1	8.1768	0
m02201g	keratan sulfate I biosynthesis, precursor 1[Golgi apparatus]	0.58301	0.27994	8	6.1992	6.0301
m01126c	5-oxo-ETE[Cytosol]	0.58109	0.28059	3	6.8563	4.3724
m02751r	Pi[Endoplasmic reticulum]	0.58104	0.28061	14	5.9112	5.927
m00670c	2-oxoadipate[Cytosol]	0.57378	0.28306	1	8.1228	0
m01452r	cholesterol-ester-10,13,16,19-docosa[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01454r	cholesterol-ester-10-hepta[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01455r	cholesterol-ester-11,14,17-eico[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01456r	cholesterol-ester-11,14-eicosa[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01457r	cholesterol-ester-11-docose[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01458r	cholesterol-ester-11-eico[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01459r	cholesterol-ester-12,15,18,21-tetracosa[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01460r	cholesterol-ester-13,16,19-doco[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01461r	cholesterol-ester-13,16-docosa[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01462r	cholesterol-ester-13-docose[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01463r	cholesterol-ester-13-eicose[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01465r	cholesterol-ester-15-tetra[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01466r	cholesterol-ester-4,7,10,13,16,19-doco[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01467r	cholesterol-ester-4,7,10,13,16-docosa[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01468r	cholesterol-ester-5,8,11,14,17-eico[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01469r	cholesterol-ester-5,8,11-eico[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01470r	cholesterol-ester-5-tetra[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01471r	cholesterol-ester-6,9,12,15,18,21-tetra[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01473r	cholesterol-ester-6,9,12,15-octa[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01474r	cholesterol-ester-6,9-octa[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01475r	cholesterol-ester-7,10,13,16,19-docosa[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01476r	cholesterol-ester-7,10,13,16-docosa[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01477r	cholesterol-ester-7-hexa[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01478r	cholesterol-ester-7-octade[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01479r	cholesterol-ester-7-tetrade[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01480r	cholesterol-ester-8,11,14,17-eico[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01481r	cholesterol-ester-8,11-eico[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01482r	cholesterol-ester-9,12,15,18,21-tetra[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01484r	cholesterol-ester-9-eicose[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01485r	cholesterol-ester-9-heptade[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01486r	cholesterol-ester-9-octa[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01487r	cholesterol-ester-9-tetrade[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01488r	cholesterol-ester-arach[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01489r	cholesterol-ester-cis-vac[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01490r	cholesterol-ester-dihomo-gamma[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01491r	cholesterol-ester-docosa[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01492r	cholesterol-ester-eico[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01493r	cholesterol-ester-gamma-lin[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01494r	cholesterol-ester-heneico[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01495r	cholesterol-ester-hepta[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01496r	cholesterol-ester-hexacosa[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01497r	cholesterol-ester-hexecose[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01498r	cholesterol-ester-laur[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01499r	cholesterol-ester-lin[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01500r	cholesterol-ester-linolen[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01501r	cholesterol-ester-myrist[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01502r	cholesterol-ester-nanode[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01503r	cholesterol-ester-ol[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01504r	cholesterol-ester-palm[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01505r	cholesterol-ester-palmn[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01506r	cholesterol-ester-penta[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
m01507r	cholesterol-ester-stea[Endoplasmic reticulum]	0.57261	0.28346	2	7.2217	0.65712
